wfuzz -c --basic "morandin:devops" \
  -w /usr/share/wordlists/dirb/common.txt \
  --hc 404,401 \
  https://homolodoc.com.br/FUZZ
 /usr/lib/python3/dist-packages/wfuzz/__init__.py:34: UserWarning:Pycurl is not compiled against Openssl. Wfuzz might not work correctly when fuzzing SSL sites. Check Wfuzz's documentation for more information.
********************************************************
* Wfuzz 3.1.0 - The Web Fuzzer                         *
********************************************************

Target: https://homolodoc.com.br/FUZZ
Total requests: 4614

=====================================================================
ID           Response   Lines    Word       Chars       Payload                                    
=====================================================================

000000050:   200        0 L      36 W       1281 Ch     "_dummy"                                   
000000048:   200        0 L      36 W       1281 Ch     "_derived"                                 
000000049:   200        0 L      36 W       1281 Ch     "_dev"                                     
000000047:   200        0 L      36 W       1281 Ch     "_db_backups"                              
000000015:   200        0 L      36 W       1281 Ch     ".listings"                                
000000046:   200        0 L      36 W       1281 Ch     "_database"                                
000000001:   200        0 L      36 W       1281 Ch     "https://homolodoc.com.br/"                
000000045:   200        0 L      36 W       1281 Ch     "_data"                                    
000000031:   200        0 L      36 W       1281 Ch     "_admin"                                   
000000007:   200        0 L      36 W       1281 Ch     ".cvsignore"                               
000000003:   200        0 L      36 W       1281 Ch     ".bashrc"                                  
000000044:   200        0 L      36 W       1281 Ch     "_css"                                     
000000043:   200        0 L      36 W       1281 Ch     "_config"                                  
000000042:   200        0 L      36 W       1281 Ch     "_conf"                                    
000000041:   200        0 L      36 W       1281 Ch     "_common"                                  
000000040:   200        0 L      36 W       1281 Ch     "_code"                                    
000000039:   200        0 L      36 W       1281 Ch     "_catalogs"                                
000000038:   200        0 L      36 W       1281 Ch     "_cache"                                   
000000037:   200        0 L      36 W       1281 Ch     "_borders"                                 
000000036:   200        0 L      36 W       1281 Ch     "_baks"                                    
000000035:   200        0 L      36 W       1281 Ch     "_backup"                                  
000000034:   200        0 L      36 W       1281 Ch     "_assets"                                  
000000033:   200        0 L      36 W       1281 Ch     "_archive"                                 
000000030:   200        0 L      36 W       1281 Ch     "_adm"                                     
000000032:   200        0 L      36 W       1281 Ch     "_ajax"                                    
000000029:   200        0 L      36 W       1281 Ch     "_"                                        
000000028:   200        0 L      36 W       1281 Ch     "@"                                        
000000027:   200        0 L      36 W       1281 Ch     ".web"                                     
000000026:   200        0 L      36 W       1281 Ch     ".swf"                                     
000000025:   200        0 L      36 W       1281 Ch     ".svn/entries"                             
000000024:   200        0 L      36 W       1281 Ch     ".svn"                                     
000000023:   200        0 L      36 W       1281 Ch     ".subversion"                              
000000022:   200        0 L      36 W       1281 Ch     ".ssh"                                     
000000021:   200        0 L      36 W       1281 Ch     ".sh_history"                              
000000020:   200        0 L      36 W       1281 Ch     ".rhosts"                                  
000000019:   200        0 L      36 W       1281 Ch     ".profile"                                 
000000018:   200        0 L      36 W       1281 Ch     ".perf"                                    
000000017:   200        0 L      36 W       1281 Ch     ".passwd"                                  
000000014:   200        0 L      36 W       1281 Ch     ".listing"                                 
000000016:   200        0 L      36 W       1281 Ch     ".mysql_history"                           
000000013:   200        0 L      36 W       1281 Ch     ".htpasswd"                                
000000012:   200        0 L      36 W       1281 Ch     ".htaccess"                                
